code,producto,forma_oficial,sin,codigo_e,clase,ya_en_tags
7500093712604,valley foods cereal de trigo integral,extracto de annato,SIN160(b),E160b,natural_botanico,False
0636817014253,Salsa Chipotle Cremosa,rojo allura ac,SIN129,E129,sintetico,True
7501040006197,chimex,rojo curry,SIN129,E129,sintetico,False
0064144030330,Pam,extracto de annato,SIN160(b),E160b,natural_botanico,False
7500093712611,cereal de avena integral con pasas,extracto de annato,SIN160(b),E160b,natural_botanico,False
7501954907078,Bitz galletas rellenas,extracto de annato,SIN160(b),E160b,natural_botanico,False
7501030423522,Bran Fruit con Fresa,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501030423522,Bran Fruit con Fresa,rojo allura ac,SIN129,E129,sintetico,False
7501030423522,Bran Fruit con Fresa,extracto de annato,SIN160(b),E160b,natural_botanico,False
7501000606573,Cremax,amarillo ocaso fcf,SIN110,E110,sintetico,False
