code,descartados,texto
7501040081422,"E160a,E160b","Leche entera pasteurizada de vaca, Cultivo láctico, Sal yodada, Cloruro de calcio, Monoestereato de glicerilo, Cuajo, Nitrato de sodio, Extracto de annato y/o betacaroteno. Composición: Grasa min. 27%, Proteina min. 21%, Humedad max. 45%."
7501040082016,E160b,"Leche entera pasteurizada de vaca, cultivo láctico, sal yodada, cloruro de calcio, monoestearato,  de glicerilo, cuanjo, nitrato de sodio, extracto de annato."
7501055328666,E160a,"Agua purificada, azucares, concentrado glaceau citrico tropical, acido citrico (como acidulante), vitamina C (acido ascorbico), extracto de guaraná (paullinia cupana), l-lactato de magnesio, lactato de calcio, citamina B3 (niacina), fosfato monopotasico, vitamina B5 (acido pantotenico), beta caroteno vitamina B6 (piridoxina) y vitamina B12(cianocobalamina)."
7501067741934,E160b,"Maíz, azúcar, sal yodada, extracto de malta, carbonato de calcio, ésteres de ácido diacetil tartárico, monoestearato de glicerilo, vitaminas y minerales (vitamina C, hierro, zinc, niacina, vitamina E, vitamina A, vitamina D, vitamina B12, vitamina B6, vitamina B1, vitamina B2, ácido fólico), BHA, achiote, polidimetilsiloxano"
7501071305221,E171,"Avena 35%, azúcar, <span class=""allergen"">trigo</span>, aceite vegetal, pasas cubiertas sabor yogurt 7% (uva pasa, azúcar, grasa vegetal parcialmente hidrogenada, sólidos de la leche, ácido láctico, dioxido de titanio, saborizantes artificiales, <span class=""allergen"">lecitina de soya</span>), <span class=""allergen"">almendra</span> 7%, coco rallado sin azúcar 1%, leche descremada, miel de abeja 1%, saborizantes naturales, <span class=""allergen"">lecitina de soya</span> y tocoferoles concentrados (mezcla).Contiene avena, <span class=""allergen"">trigo</span> (<span class=""allergen"">gluten</span>) derivados de <span class=""allergen"">leche</span>, <span class=""allergen"">almendra</span> y <span class=""allergen"">soya</span>."
7501091200339,E171,"Leche entera pasteurizada de vaca, sal yodada, acido citrico, sorbato de potasio, propinato de sodio y acetato de calcio, cloruro de calcio, dioxido de titanio y cuajo."
7501669804198,E160b,"Agua, Almidón modificado, Grasa vegetal, Sólidos lácteos, Goma guar, Sal yodada, Monoestearato de glicerilo, Ácido láctico, Sabor enzimático natural a queso amarillo, Extracto de annato, Sorbato de potasio."
7501669880109,E160b,"Mezcla de quesos (leche entera o parcialmente descremada pasteurizada de vaca, Sólidos de la leche, Sal yodada, Cloruro de calcio, Cuajo, Sabor enzimático natural, Cultivos lácticos), Agua, <span class=""allergen"">Mantequilla</span>. Sólidos de la leche, Sal yodada, Hexametafosfato de sodio, Fosfato disódico, Monoestearato de glicerilo, Citrato de sodio, Ácido cítrico, Carragenina, Extracto de annato, Sorbato de potasio."
7501761865394,E160b,"Trigo entero, hojuelas de avena de grano entero, uva pasa 20%, salvado, extracto de malta, azúcar, harina de maíz, harina de arroz, sal yodada, saborizante, carbonato de calcio, colorantes (caramelo clase IV, caramelo clas II, tartrazina, amarillo ocaso FCF, azul brillante FCF, extracto de annato), aceite vegetal, vitaminas y minerales (vitamina A, vitamina B1,vitamina B2, vitamina E, niacina, ácido fólico, hierro, zinc), sucralosa (0.02 g / de producto 100 g), BHA, BHT"
7501791616553,E160b,"Agua, Grasa Vegetal, Sólidos lácteos, Goma guar, Almidón modificado, Sal yodada, Monoestearato de glicerilo, Citrato de sodio, Fosfato disódico, Saborizante enzimática natural a queso amarrillo, Extracto de annato, Sorbato de potasio."
7501791624640,E160b,"Agua, imitación quesos madurados (leche parcialmente descremada pasteurizada de vaca, grasa vegetal, agua, sólidos lácteos, almidón modificado, cloruro de calcio, cuanjo, sal yodada, saborizante enzimático natural, cultivos lácticos), grasa vegetal sólidos lácteos, almidón modificado, sal yodada, hexametafosfato de sodio, fosfato disódico, saborizante natural enzimático a queso amarillo, monoestearato de glicerilo, citrato de sodio, ácido cítrico, carragenina, extracto de annato, sorbato de potasio."
7501791650236,E160b,"Agua, imitación quesos madurados (leche parcialmente descremada pasteurizada de vaca, grasa vegetal, agua, sólidos lácteos, almidón modificado, cloruro de calcio, cuanjo, sal yodada, saborizante enzimático natural, cultivos lácticos), grasa vegetal sólidos lácteos, almidón modificado, sal yodada, hexametafosfato de sodio, fosfato disódico, saborizante natural enzimático a queso amarillo, monoestearato de glicerilo, citrato de sodio, ácido cítrico, carragenina, extracto de annato, sorbato de potasio."
7501791659819,E171,"Crema de leche de vaca, leche descremada en polvo, cultivos lácticos, sal yodada, ácido citrico, goma de algarrobo, dióxido de titanio, ácido láctico, ácido sórbico, carragenina, goma xantana. CONTIENE LECHE. 33% mín. de grasa butírica, 5% mín. de proteína, 55 % máx. de humedad."
7502209113848,E171,"Leche entera pasteurizada de vaca, sal yodada, acido citrico, sorbato de potasio, propinato de sodio y acetato de calcio, cloruro de calcio, dioxido de titanio  y cuajo."
7503004818099,SPIRULINA,"Nopal (mín. 45%), harina de maíz nixtamalizado, ajonjolí (mín. 5.0%), goma guar, goma xantana, carboximetilcelulosa, sal yodada, espirulina (mín. 0.1%) y tocoferoles"
75002275,E100,"Azúcares añadidos (azúcar, jarabe de maíz de alta fructosa, jarabe de maíz, glucosa), harina de trigo (gluten), grasa y aceite vegetal, glicerina, cocoa, grasa butírica, puré de piña (2%), leche, almidón modificado, sólidos de la leche, pectina, almidón, maltodextrina, lecitina de soya, ácido cítrico, saborizante artificial y natural, sal yodada, propionato sódico, mono y diglicéridos, ésteres de poligliceril de ácidos grasos, ácido sórbico, triestearato de sorbitán, vainillina, canela, ésteres de propilenglicol de ácidos grasos, fibra vegetal, estearoil lactilato de sodio, goma xantana, monostearato de sorbitán, polisorbato 60, curcumina, goma guar, carragenina, benzoato de sodio."
75063368,E160a,"Agua Bonafont, jugo concentrado de mango (4%), fibra dietetica(polidextrosa), saborizantes, concentrado Bonafont mango con stevia (15,3/100ml), ácido malico, beta, beta-caroteno, carmin y bisulfito de sodio."
75063375,E160a,"Agua bonafont, jugo de Naranja (9%), acido citrico, saborizantes, concentrado bonafont kids naranja con stevia (14,5 mg/100 ml), fibra dietetica (polidextrosa), Bisulfato de sodio y beta, beta-caroteno."
75065065,E160a,"Agua bonafont, jugo de Mango (4%), acido citrico, saborizantes (sucralosa 1,3mg/100ml), concentrado bonafont kids mango con stevia (15,3 mg/100 ml), fibra dietetica (polidextrosa), carmin y Bisulfato de sodio y beta, beta-caroteno,"
7613031300655,E160b,"31,9% VOLLKORNHAFERMEHL, 29,6% VOLLKORNWEIZENMEHL, 18,2% VOLLKORNGERSTENMEHL, Zucker, 7,0 % WEIZENMEHL (enthält Calciumcarbonat, Niacin, Eisen, Thiamin), Invertzuckersirup, Calciumcarbonat, Sonnenblumenöl, Melasse, Salz, Karamellzuckersirup, Farbstoffe (Carotin, Annatto Norbixin), Antioxidationsmittel (stark tocopherolhaltige Extrakte), Eisen, Vitamin C, Niacin, Pantothensäure, Folsäure, Vitamin D, Vitamin B6, Riboflavin (Vit. B2)."
0614360000381,E163,"Extracto de Uva, Agua Acido Cítrico, 0,1 % de Benzoato de Sodo y Sorbato de Potasio como conservada"
7501011126930,E160c,"cacahuate, sazonador[sal yodada, maltodextrina, glutamato monosódico,almidón modificado, almidón, chiles, proteína vegetal hidrolizada de soya, especias, saborizantes naturales, idénticos al natural y artificiales, dióxido de silicio, citrato de sodio, oleorresinade paprika, caramelo clase iv, ácido láctico, bht, fosfato de calcio, edta disódico], goma arábiga, ácido cítrico, tbhq"
7501791670555,E160b,"Leche entera pasteurizada de vaca, Cultivos lácticos, Sal, Enzimas, Extracto de annato."
7500478005765,"E160b,E160c","HARINA DE MAIZ NIXTAMALIZADO, ACEITE VEGETAL (CONTIENE TBHQ), CONDIMENTO [Chiles, Sal Yodada, Maltodextrina, Acido Citrico, Dextrosa, Oleorresina de Paprika, Aceite Vegetal, Almidón Modificado, Jugo de Limón, Saborizantes, Caramelo Clase I, Caramelo Clase IV], ACHIOTE."
7501020547207,E160b,"Leche pasteurizada de vaca, sal yodada, cuajo, nitrato de potasio, extracto de annato y cultivos lácticos."
7501011173521,E160b,"Maíz nixtamalizado, aceite vegetal (TBHQ) Sal yodada 0,6%, Maltodextrina, Achiote"
0016000467583,E160b,"glicerina, maltodextrina, carbonato de calcio, sorbitol (0,8 g / 100 g), amarillo 5, amarillo 6, rojo 40, azul 1, anaranjado 3, gelatina, sal, canela, saborizante natural, vitamina A (palmitato), Vitamina B1 (mononitrato de tiamina), Vitamina B12 y Vitamina D3."
0016000467590,E171,"Cereal (hojuelas de trigo integral, azúcar, harina de maíz, jarabe de azúcar morena, dextrosa, aceite vegetal (aceite de canola y/o aceite de arroz), bicarbonato de sodio, sal, fosfato trisódico, saborizante natural) cobertura sabor chocolate (azúcar, aceite vegetal (aceite de semilla de palma), leche descremada, cocoa procesada con álcali, latina de soya, saborizante natural), jarabe de maíz, chispas sabor a chocolate con leche (azúcar, aceite vegetal (aceite de semilla de palma y/o aceite de palma), cocoa procesada con álcali, leche descremada, <span class=""allergen"">lecitina de soya</span>, extracto de vainilla), fructuosa, trozos de malvaviscos, (azúcar, jarabe de maíz, almidón modificado, gelatina, hexametafosfato de sodio, saborizantes natural y artificial, azul 1), aceite vegetal (aceite de canola), jarabe de maíz con alto contenido de fructuosa, arroz inflado (harina de arroz, azúcar, extracto de cebada malteada, sal, caramelo clase III, tocoferoles concentrados), azúcar. Contiene 2% o menos de los siguientes ingredientes: glicerina, maltodextrina, sorbitol (0,6 g / 100 g), gelatina, sal, dióxido de titanio, <span class=""allergen"">lecitina de soya</span>, saborizantes natural y artificial, BHT, carbonato de calcio, zinc, hierro, Vitamina C (ascorbato de sodio), Vitamina B3 (niacinamida), Vitamina B6 (clorhidrato de piridoxina), Vitamina B2 (riboflavina), Vitamina B1 (mononitrato de tiamina) Vitamina A (palmitato), Vitamina B9 (ácido fólico), Vitamina B12, Vitamina D3."
7501008010242,E171,"Arroz inflado [arroz, azúcar, sal, extracto de malta, niacinamida (niacina), hierro reducido, riboflavina (vitamina B2), ácido fólico], jarabe de maíz, fructosa, M&M'S© Minis chocolate confitado (mín. 12 %) [chocolate con leche (azúcar, chocolate, leche descremada, manteca de cacao, <span class=""allergen"">lactosa</span>, grasa butírica, emulsitlcante (<span class=""allergen"">lecitina de soya</span>). sal. saborizantes naturales y artificiales), azúcar, dióxido de titanio, jarabe de maíz, dextrina, almidón de maiz. emulsiticante (cera de carnaúba), azul laca No. 1, rojo No. 40. amarillo No. 6, amarillo No. 5 (tartrazina), azul No. 1, rojo laca No. 40, amarillo laca No. 6, amarillo laca No. 5 (tartrazina), azul laca No. 2, azul 2], aceite vegetal, azúcar, pasta de cacao. sólidos de jarabe de maíz, dextrosa, humectante (glicerina), leche descremada, cocoa procesada con álcali. gelificante (grenetina), saborlzantes naturales y artificiales,  sal, emulsificante (monoglicéridos aceitados), emulsificante (ésteres de ácido diacetil tartárico, emulsificante (<span class=""allergen"">lecitina de soya</span>), BHT para mantener la frescura."
7501008010105,E171,"Arroz inflado (arroz, azúcar, sal, extracto de malta, niacinamida (niacina), hierro reducido, riboflavina (vitamina B2), ácido fólico), jarabe de maíz, fructosa, M&M'S© Minis chocolate confitado (mín, 12 %) (chocolate con leche [azúcar, chocolate, leche descremada, manteca de cacao, <span class=""allergen"">lactosa</span>, grasa butírica, emulsificante (<span class=""allergen"">lecitina de soya</span>), sal, saborizantes naturales y artificiales), azúcar, dióxido de titanio, jarabe de maíz, dextrina, almidón de maíz, emulsificante (cera de carnaúba), azul laca No. 1, rojo No. 40, amarillo No. 6, amarillo No. 5 (tartrazina), azul No. 1, rojo laca No. 40, amarillo laca No. 6, amarillo laca No. 5 (tartrazina), azul laca No. 2, azul 2], aceite vegetal, azúcar, pasta de cacao, sólidos de jarabe de maíz, humectante (glicerina), dextrosa, gelificante (grenetina), saborizantes naturales y artificiales, sal, emulsificante (ésteres de ácido diacetil tartárico), emulsificante (monoglicéridos acetilados), almidón de trigo, emulsificante (<span class=""allergen"">lecitina de soya</span>), BHT para mantener la frescura."
7501071305238,E162,"Avena, azúcar, centeno, cebada, triqo, arándano deshidratado 4% arandano, azúcar y aceite vegetal), maltodextrina, miel de abeja, aceite vegetal, almendra 1%, mora azul azucarada 1% granada liofilizada menos de 1%, fibra de arandano polvo de zarzamora, saborizante natural, polvo de granada, tocoferoles concentrados (mezcla), extracto de betabel."
7501011131125,E160b,"MAIZ NIXTAMALIZADO, ACEITE VEGETAL (CONTIENE TBHQ), CONDIMENTO [SAL, YODADA, MALTODEXTRINA, ÁCIDO CITRICO, DIÓXIDO DE SILICIO, SABORIZANTES IDENTICOS AL NATURAL, GOMA ARÁBIGA, ESTEARATO DE CALCIO, TRIGLICERIDOS DE CADENA MEDIA, TOCOFEROLES], ACHIOTE."
7501030459620,"E100,E160b","<span class=""allergen"">HARINA DE TRIGO</span> (<span class=""allergen"">GLUTEN</span>), AZÚCAR, ARÁNDANOS (15% ), HOJUELAS DE AVENA (INTEGRAL) (13%), <span class=""allergen"">HUEVO</span>, GRASA VEGETAL,FIBRA DE AVENA, HARINA DE CEBADA (INTEGRAL), HARINA DE CENTENO, JARABE DE MAÍZ DE ALTA FRUCTOSA, SABORIZANTE ARTIFICIAL Y NATURAL, BICARBONATO DE SODIO, <span class=""allergen"">LECITINA DE SOYA</span>, SAL YODADA, EXTRACTO DE ANNATO, CURCUMINA EXTRACTO DE ROMERO, ZINC, HIERRO, VITAMINA A, TBHQ, PALMITATO DE ASCORBILO Y TOCOFEROLES"
0077782004434,E160c,"Came de cerdo, agua, sólidos de la leche (proteína hidrolizada de Suero de leche), jarabe de maiz, lactato potásico, sal, dextrosa, vinagre en polvo, especias, ajo en polvo (0,24% ), glutamato monosodico, cebolla en polvo (0,2%) , saborizantes naturales, especias (incluye chiles (0,02%), saborizante natural, diacetato de sodio, fosfato de sodio, oleorresina de paprika, aceite vegetal de soya, dióxido de silicón."
0077782018325,E160c,"Carne de res, agua, jarabe de maíz, sal, lactato potásico, lactato de sodio, proteína láctea, dextrosa, especias (contiene <span class=""allergen"">mostaza</span>), fosfato de sodio, extracto de paprika, azúcar, diacetato de sodio, ajo en polvo, eritorbato de sodio, cebolla en polvo, saborizante natural, nitrito de sodio. Carne de res [73%]."
0017782083787,E160c,"Came de cerdo. agua, jarabe de maíz, sal, dextrosa, especias, glutamato monosódico, extracto de paprika, ajo deshidratado. erítorbato de sodio, nitrito de sodio. Game de cerdo [80%]."
0614384000268,E163,"Extracto de Jamaica, Agua Acido Citrico, 0,1% de Benzoato de Sodio y Sorbato de Potasio como conservador."
2548791604932,E160a,"Agua, jugo y pulpa de mango, ácido citrico, goma xantana, saborizante artificial, beta caroteno, sucralosa (17 mg/100 ml)."
7501013100914,E163,"Agua, Jarabe de Maíz de Alta Fructosa, Jugo de Arándano de Concentrado (23 %), Alulosa (166 mg/100 g de producto), Antocianinas, Acido Tartárico, Acido Citrico, Saborizante Natural, Sucralosa (4 mg/100 g de producto)."
7501077506226,E160a,"LECHE ENTERA PASTEURIZADA DE VACA, SAL YODADA, CULTIVOS LACTICOS, CLORURO DE CALCIO, enzimas, betaCAROTENO."
7501791655347,E160a,"GALLETA: HARINA DE TRIGO, AZUCAR, TAPIOCA, HARINA DE ARROZ, ACEITE VEGETAL NO HIDROGENADO, CARAMELO CLASE III, SAL, LECITINA DE SOYA, LECHE SEMIDESCREMADA EN POLVO. RELLENO 50%: ACEITE VEGETALL NO HIDROGENADO, AZUCAR, DEXTRINA, CACAO EN POLVO, ALMIDON DE MAIZ, DEXTROSA, PREPARACION DULCE CREMOSA (JARABE DE GLUCOSA, ACEITE VEGETAL NO HIDROGENADO, CASEÌNA, EMULSIFICANTE, (MONO Y DIGLICERIDOS), POLISFOSFATO DE SODIO, FOSFATO DIPOTASICO, DIOXIDO DE SILICIO, BETA CAROTENO). LECHE SEMIDESCREMADA EN POLVO, CAFE EN POLVO, SAL, LECITINA DE SOYA, SABORIZANTE ARTIFICIAL CAPUCHINO. CONTIENE SOYA Y LECHE."
7501055359882,E162,"Agua, jugo de Manzana 35% jugo de betabel 11,5%, pure de fresa 8,5%, proteína vegetal (de <span class=""allergen"">soya</span>, cicharo y maíz) 0,6%, ácido citrico concentrado nutrivegetales con sabor hierbabuena, ácido fosforico gluconato de sodio, estevia (8,5 mg /100 carmin."
7501077510599,E160b,"Leche entera pasteurizada de vaca cultivo lacteo sal yodada, cloruro de calcio mosoestearato de glicerilo, cuajo, extracto de annato."
7501040083631,E160a,"Quesos tipo manchego (Leche entera pasteurizada de vaca, sal yodada, cultivo láctico, cuajo, betacaroteno), Leche descremada reconstituida, grasa butírica, caseinatos, citrato de sodio, sal yodada, ácido fosfórico, sorbato de potasio, acetato de sodio, saborizantes. Composición: Grasa mín 22,5%, proteína mín 20%, humedad máx 45%."
7501040083761,E160b,"LECHE ENTERA PASTEURIZADA DE VACA CULTIVO LACTICO,SAL YODADA, CLORURO DE CALCIO, MONOESTEARATO DE GLICERILO, CUAJO, NITRITO DE SODIO, EXTRACTO DE ANNATO."
7501077510575,E160b,"Leche entera pasteurizada de vaca, cultivo láctica, sal yodada cloruro de calcio, mongestearato de glicerilo, cuajo, extracto de annato."
7501077510377,E160b,"Leche entera pasteurizada de vaca, <span class=""allergen"">proteína de leche</span>, cultivos lácticos, sal yodada, cloruro de calcio monoestearato de glicerilo, cuajo, extracto de annato."
7501002202179,E160b,"LECHE ENTERA PASTEURIZADA DE VACA, PROTEINA DE LECHE, SAL YODADA, CLORURO DE CALCIO, CUAJO, EXTRACTO DE ANNATO Y CULTIVOS LÁCTICOS."
7501077513156,E160b,"Leche entera pasteurizada de vaca cultivo lacteo sal yodada, cloruro de calcio mosoestearato de glicerilo, cuajo, extracto de annato."
7501040083570,E160b,"Leche entera pasteurizada de vaca, cultivo láctico, sal yodada, cuajo, cloruro de calcio, nitrato de sodio, extracto de annato."
7501040083884,E160b,"Leche entera pasteurizada de vaca, cultivo láctico, sal yodada, cuajo, cloruro de calcio, nitrato de sodio, extracto de annato."
0052833227543,E160b,"Leche entera pasteurizada de vaca, cultivos lácticos, annatto norbixina, sal común, cuajo. Contiene: Leche
Queso Muenster keche entera de vaca.
Porcentaje mínimo de grasa butírica: 27%
Porcentaje mínimo de proteína: 10%
Porcentaje máximo de humerdad: 42%"
7501040083587,E160b,"Leche entera pasteurizada de vaca, leche descremada pasteurizada de vaca, sal yodada, cultivos lácticos, extracto de annato, cloruro de calcio, nitrato de sodio, cuajo."
0052833227086,E160b,"Leche entera pasteurizada de vaca, cultivos lácticos, annatto norbixina, sal común, cuajo. 
Contiene<span class=""allergen"">: Leche</span>."
7501791725439,E160b,"Leche parcialmente descremada pasteurizada de vaca, grasa vegetal, sal yodada, almidón modificado, celulosa microcristalina, cloruro de calcio, sorbato de potasio, quimoxina, saborizante enzimático natural, extracto de annato, cultivos lácticos."
7501057730375,E160c,"Carne de cerdo, grasa de cerdo, agua, proteína de soya, condimentos, pimentón, sal todada, glucosa, nitrito de sodio, extracto de paprika, eritorbato de sodio, cultivos lácticos, carmín, puede contener <span class=""allergen"">trigo</span>."
7501791658904,E171,"Carne de pavo, agua, fecula de papa, carne de cerdo, proteina de soya, sal yodada, almidon modificado, mezcla de condimentos, fosfato de sodio, lecitina de soya, lactato de sodio, azucar refinada, eritorbato de sodio, diacetato de sodio, carmin, dioxido de titanio, nitrito de sodio."
7501761856743,E160b,"HOJUELAS DE AVENA DE GRANO ENTERO, HOJUELAS DE TRIGO, AZÚCAR, UVA PASA 11% , HARINA DE ARROZ INTEGRAL, INULINA, SOLIDOS DE LA LECHE, HARINA DE ARROZ, MAIZ, ACEITE VEGETAL (CONTIENE ANTIOXIDANTES TBHQ ,PALMITATO DE ASCORBILO, TOCOFEROLES), <span class=""allergen"">ALMENDRAS</span> 1%, MIEL 0,5%, SAL YODADA, COCO, SABORIZANTE, EXTRACTO DE MALTA, CANELA, <span class=""allergen"">LECITINA DE SOYA</span>, GLICERINA, CARBONATO DE CALCIO, VITAMINAS Y MINERALES  (HIERRO , ZINC, NIACINA, VITAMINA B6, VITAMINA B2, VITAMINA B1), BHA, EXTRACTO DE ANNATO, DIOXIDO DE SILICIO.
ESTE PRODUCTO CONTIENE <span class=""allergen"">TRIGO</span> Y OTROS <span class=""allergen"">CEREALES CON GLUTEN</span>, <span class=""allergen"">LECHE</span>, <span class=""allergen"">ALMENDRAS</span>, COCO Y <span class=""allergen"">SOYA</span>."
7501791640954,E160b,"Leche entera pasteurizada de cabra, sal, cuajo, cultivos lácticos, cloruro de calcio y lisozima (derivado del huevo), natamicina y extracto de annato (en corteza). CONTIENE: Leche y derivados de huevo."
7501791671019,E160b,"MAIZ, AZUCAR, SAL YODADA, EXTRACTO DE MALTA, CARBONATO DE CALCIO, ESTERES DE ACIDO DIACETIL TARTARICO, MONOESTEARATO DE GLICERILO, NIACINA, HIERRO, ZINC, BHA, ACHIOTE, DIOXIDO DE SILICIO.
CONTIENE GLUTEN."
0002544317101,"E100,E171","Harina de trigo enriquecida (harina de trigo, niacina, hierro reducido, mononitrato de tiamina (vitamina B1), riboflavina (vitamina B2), ácido fólico), jarabe de maíz, jarabe de maíz alto en fructosa, dextrosa, aceite de soya y palma, azúcar, galleta molida, almidón de trigo, sal, fresas deshidratadas, peras deshidratadas, manzanas deshidratadas, polvos para hornear (bicarbonato de sodio, pirofosfato ácido de sodio, fosfato monocálcico), ácido cítrico, maíz molido, gelatina, aceite de soya, almidón de maíz modificado, color caramelo clase IV, lecitina de soya, goma xantana, almidón de trigo modificado, vitamina A palmitato, rojo allura AC, niacinamida (niacina), hierro reducido, dióxido de titanio, extracto de cúrcuma, clorhidrato de piridoxina (vitamina B6), amarillo ocaso FCF, riboflavina (vitamina B2), hidrocloruro de tiamina (vitamina B1), azul brillante FCF. CONTIENE GLUTEN. CONTIENE INGREDIENTES"
0016000415447,E171,"Extracto de raíz de aohicoria, harina de arroz, azúcar, harina de tu o integral, jarabe de maíz con año contemdo e ma!tosa, avena de grano entero, aceite vegetal %gceute de semilla de palma, canola y/o soya), chispas de chocolate semiamargo 4% (azúcar, licor de cocoa procesado con álcali, manteca de cacao, grasa butírica, lecitina de sora, saborizante natural), trigo inflado, glicerina, miel, maltodextrina, cocoa procesada con álcali (holandés), lecitina de soya, cacao, sal, extracto de malta de cebada, goma celulosa, sólidos de la leche, leche entera, fructosa, leche descremada. bicarbonato de sodio, levadura seca, saborizante natural, aceite vegetal (aceite de romero), colorantes (laca de amarillo 5, laca de amarillo 6, laca de rojo 40, laca de azul 1 y dióxido de titanio), Vitamina E (tocoferoles) agregado para preservar frescura."
0016000440296,E163,"Trozos de arándanos con sabor a fresa (azúcar, arándanos, ácido cítrico, saborizante natural, jugo concentrado de saúco, aceite vegetal (aceite de girasol refinado), <span class=""allergen"">lecitina de soya</span>), hojuelas de avena integral  (19,8%), harina de arroz, jarabe de  maíz, jarabe de maíz con alto  contenido de maltosa, fructosa, azúcar, aceite vegetal, manzanas deshidratadas 4%, glicerina, <span class=""allergen"">lecitina de soya</span>, almidón, fresas deshidratadas  2%, extracto de cebada malteada, sal, aceite vegetal, jugo concentrado de fresa, ácido malico, saborizante natural, ácido cítrico, bicarbonato de sodio, mezcla de tocoferoles  concentrados añadidos para conservar la frescura, aceite vegetal."
7501295600713,E160a,"Leche semidescremada, deslactosada, azúcar, celulosa microcristalina, carragenina, vitaminas (B6, B1, A, D3, B12), calcio, zinc, hierro y ácido fólico, lactasa, saborizante, citrato de sodio, betacaroteno, hezametafosfato de sodio y fosfato disódico."
7502219838717,E100,"MANGO, CONCENTRADO DE MANZANA, PULPA DE MARACUYA, CURCUMA Y PECTINA. ORGANICOS."
7503023660327,E100,"ARROZ GRANO LARGOPRECOCIDO ENRIQUECIDO (HIERRO, ACIDO FOLICO) VEGETALES DESHIDRATADOS (CEBOLLA, PIMIENTO, AJO, TOMATE, AZUCAR, DEXTROSA, GRASA DE POLLO, CURCUMA MOLIDA."
0073141110815,E160b,"<span class=""allergen"">Harina de trigo</span>, azúcar, <span class=""allergen"">almendra</span> (20% min), leche entera en polvo, aceite vegetal, licor de cacao (16% min). Manteca de cacao (8% min), manteca vegetal, aceite vegetal, <span class=""allergen"">lecitina de soya</span>, esteres de ácidos grasos, sacarosa, sal yodada, poliglicerol de polirricinoleato, ácidos grasos de sacarosa, <span class=""allergen"">mantequilla</span>, levadura, saborizante artificial, extracto de achiote, bicarbonato de sodio. 
Contiene<span class=""allergen"">: Gluten</span>, <span class=""allergen"">leche</span>, <span class=""allergen"">almendra</span> y <span class=""allergen"">soya</span>."
7503006097003,E160b,"Carne de cerdo (al 80%), achiote, proteína vegetal, vinagre de frutas, agua, consomé, sal de mar,ajo, cebolla
 “Contiene <span class=""allergen"">soya”</span>."
7501018312312,E160c,"PASTA: Sémola de trigo durum hierro, niacina, vitamina B1 (tiamina), vitamina B2 (riboflavina y ácido fólico (folacina). SAZONADOR DE TOMATE Y ESPECIAS.: Sal yodada, tomate en polvo (17%) hojuelas de tomate, almidón, azucar, harina de trigo, aceite vegetal parcialmente hidrogenado. maltodextrina, cebolla, leche descremada en polvo, glutamato monosódico, especias, oleorresina de paprika, saborizantes naturales y artificiales, queso, pimienta y dióxido de silicio."
7501018312138,E160c,"Pasta: sémola de trigo durum, hierro, niacina, vitamina B1 (tiamina), vitamina B2 (riboflavina), y ácido fólico (folacina). Salsa de tomate: maltodextrina, sal refinada yodada, tomate deshidratado (15%), crema en polvo (10%), mezcla de quesos granular y azul (leche, cultivos de queso, enzimas), suero de leche, aceite de soya parcialmente hidrogenado, lactosa, fosfato de sodio, ácido cítrico y ácido láctico], saboreadores naturales y artificiales, almidón, glutamato monosódico, oleorresina de paprika, cebolla, ajo, especias, perejil, dióxido de silicio, tocoferoles y palmitato de ascorbilo."
0071828003108,"E100,E160b","Agua, <span class=""allergen"">Semillas de Mostaza</span>, Vinagre (Blanco Destilado, Vino tinto y Vino Blanco), Azúcar, Sal, Vino Blanco, Ajo, Especias, Goma Xantana, Curcuma, Turmerico, Acido Cítrico, Saborizantes Naturales, Extracto de Annato."
0071828002385,"E100,E160b","Agua, Vinagre blanco destilado, <span class=""allergen"">Semillas de Mostaza</span>, Sal, Azúcar, Aceite vegetal de Soya, Cúrcuma, Turmérico, Ajo, Especias, goma Xantana, Extracto de Annato, Edta Disódico Cálcico, Acido Cítrico, Saborizante natural."
0853267004003,E100,"Harina de papa, almidon, aceite vegetal, sal, azucar, pasta de tomate (tomate 100%), curcuma, espinaca en polvo, remolacha en polvo."
0078742091952,"E100,E160c","VINAGRE, AGUA, SEMILLA DE MOSTAZA, SAL, CURCUMA TURMERICO, EXTRACTO DE PAPRIKA."
7501003335128,E100,"AGUA, VINAGRE DE ALCOHOL DE CAÑA, <span class=""allergen"">SEMILLAS DE MOSTAZA</span>,SAL YODADA, AZUCAR, CURCUMA"
0041500763668,"E100,E160c","VINAGRE, AGUA, SEMILLA DE MOSTAZA, SAL, CURCUMA, PAPRIKA, ESPECIA, SABORIZANTES NATURALES Y AJO EN POLVO."
7501003335036,E100,"AGUA, VINAGRE DE ALCOHOL DE CAÑA, SEMILLAS DE MOSTAZA, SAL YODADA, AZUCAR Y CURCUMA."
7501052470658,E160c,"AGUA, ACEITE DE OLIVA, VINAGRE BALSAMICO, ACEITE VEGETAL, AZUCAR, VINAGRE BLANCO DE ALCOHOL DE CAÑA, SAL YODADA, ESPECIAS, ESENCIA DE AJO, CEBOLLA, PIMIENTO, POLISORBATO 60, SABORIZANTE NATURAL, ALBAHACA, SORBATO DE POTASIO, GOMA XANTANA, ALGINATO DE PROPILENGLICOL, BENZOATO DE SODIO, OLEORRESINA DE PAPRIKA, EDTA DISODICO Y TBHQ."
